id,event_name,event_type,city,state,country,venue_or_area,application_deadline_iso,application_deadline_text,event_date_range_text,application_mode,postal_address,contact_name,contact_email,contact_phone,source_url,source_domain,source_kind,last_verified_at,agent_batch_id,confidence_status,notes
glauchauer-familienparkfest-2026-glauchau,Glauchauer Familienparkfest 2026,Familienfest / Parkfest,Glauchau,Sachsen,DE,Gründelpark,2026-08-07,07.08.2026,09.08.2026,Online über das Beteiligungsportal Sachsen,"Stadt Glauchau, Kulturverwaltung, Markt 1, 08371 Glauchau",Kulturverwaltung Stadt Glauchau,kultur@glauchau.de,03763 65 416,https://buergerbeteiligung.sachsen.de/portal/glauchau/beteiligung/themen?format=Umfrage,buergerbeteiligung.sachsen.de,official,2026-08-03,research-2026-08-03-sn-st-th,verified,Das offizielle Portal weist die Standplatzbewerbung am Recherchetag als aktiv vom 23.02. bis 07.08.2026 aus.
afair-2027-regionalvermarkter-landkreis-augsburg,A\FAIR 2027 - Gemeinschaftsstand des Landkreises Augsburg,Verbrauchermesse / Gemeinschaftsstand,Augsburg,Bayern,DE,"Messe Augsburg, Am Messezentrum 5",2026-08-10,"Bewerbung ab sofort bis Montag, 10.08.2026",29.01.-31.01.2027,Bewerbung mit Unternehmensprofil und Präsentationskonzept als PDF-Datei bis 10 MB per E-Mail,,Team Öffentlichkeitsarbeit des Landkreises Augsburg,oeffentlichkeitsarbeit@LRA-a.bayern.de,0821 3102 2398,https://www.landkreis-augsburg.de/news/detail/detail/News/regionalvermarkter-fuer-messeauftritt-des-landkreises-augsburg-gesucht/,landkreis-augsburg.de,official,2026-08-03,by-2027-deep-rb-schwaben,partial,Offen für kleine Betriebe und Nebengewerbe mit Firmensitz im Landkreis Augsburg und regionalem Angebot; Teilnahme am Landkreisstand ist kostenfrei und erfordert ein Genuss- oder Mitmach-Angebot.
muenchner-weihnachtsmarkt-bogenhausen-betreiber-2026,Weihnachtsmarkt Bogenhausen 2026/2027 - Betreiberverfahren,Weihnachtsmarkt / Betreiberverfahren,München,Bayern,DE,"Cosimastraße / Englschalkinger Straße, Bogenhausen",2026-08-10,Die Ausschlussfrist endet am 10. August 2026.,Mitte November 2026 bis Mitte Januar 2027,Bewerbung mit Mietpreisangebot und Veranstaltungskonzept per Post oder E-Mail,"Landeshauptstadt München, Kommunalreferat, Immobilienmanagement, IM-GW-O, Denisstraße 2, 80335 München",Kommunalreferat Immobilienmanagement,im-gw.kom@muenchen.de,089 233-722412,https://stadt.muenchen.de/infos/2026_26_grunstueck_fuer_weihnachtsmarkt_zu_vermieten.html,stadt.muenchen.de,official,2026-08-03,research-2026-08-03-gap-maerkte,verified,"Die Ausschreibung richtet sich an Betreiber eines vollständigen Weihnachtsmarkts, nicht an einzelne Standbeschicker."
gruene-woche-2027-hauptaussteller-berlin,Grüne Woche 2027 - Hauptausstellende,Publikumsmesse / Ernährungs- und Landwirtschaftsmesse,Berlin,Berlin,DE,Messegelände Berlin,2026-08-14,Standanmeldung bis 14. August 2026,15.01.-24.01.2027,Standanmeldung über die offiziellen Anmeldeunterlagen beziehungsweise das Ausstellerportal,"Messe Berlin GmbH, Messedamm 22, 14055 Berlin",Grüne Woche Team,gw@messe-berlin.de,+49 30 3038 2027,https://messe-berlinprod-media.e-spirit.cloud/36b01921-e247-4b4d-87d4-f20914a19134/gruene-woche/downloads-alle-sprachen/ausstellen/standanmeldeunterlagen/ausstellereinladung.pdf,messe-berlinprod-media.e-spirit.cloud,official,2026-08-03,berlin-2027-deep-messen,verified,Die offizielle Ausstellereinladung 2027 nennt sowohl Veranstaltungszeitraum als auch Anmeldeschluss ausdrücklich.
hafengeburtstag-hamburg-2027-hamburg,838. Hafengeburtstag Hamburg 2027,Hafenfest / Volksfest,Hamburg,Hamburg,DE,"Bunte Hafenmeile, Hamburger Hafen zwischen Landungsbrücken und Baakenhöft",2026-08-15,Bewerbungsschluss für den HAFENGEBURTSTAG HAMBURG 2027 ist der 15. August 2026; Unterlagen können bis zum 15. Oktober 2026 nachgereicht werden.,6. bis 9. Mai 2027,Online über den HamburgService-Dienst 'Bewerbung für einen Standplatz bei Veranstaltungen'; alternativ per PDF-Formular. Für jedes Geschäft ist eine eigene Bewerbung erforderlich.,"Behörde für Wirtschaft, Arbeit und Innovation, Abteilung Hamburger DOM, Hafengeburtstag, bezirkliche Märkte, Alter Steinweg 4, 20459 Hamburg","Steffi Harneit, Ansprechpartnerin für Schausteller und Bunte Hafenmeile",steffi.harneit@bwai.hamburg.de,+49 40 42841-2626,https://www.hamburg.de/freizeit/hafengeburtstag-hamburg/kontaktdaten-346082,hamburg.de,official,2026-08-03,hamburg-2027-deep-stadt,verified,"Rund 450 Aussteller und Standbetreiber auf der Bunten Hafenmeile. Gleicher Bewerbungsschluss wie beim Hamburger DOM 2027, aber getrenntes Verfahren und eigene Ansprechpartnerin. Allgemeine Auskuenfte: hafengeburtstag@bwai.hamburg.de, +49 40 42841 1528."
giessener-kraemermarkt-2026,Gießener Krämermarkt 2026,Krämermarkt / Regionalmarkt,Gießen,Hessen,DE,Fußgängerzone Gießen,2026-08-15,Der Bewerbungsschluss wurde bis zum 15. August 2026 verlängert.,2. bis 4. Oktober 2026,Offizielles Bewerbungsformular,"Giessen Marketing GmbH, Suedanlage 4, 35390 Giessen",Gießen Marketing GmbH,marketing@giessen.de,+49 641 3061880,https://giessen-entdecken.de/bewerbungen/,giessen-entdecken.de,official,2026-08-03,research-2026-08-03-gap-maerkte,partial,"Die offizielle Veranstalterseite nennt Kunsthandwerk, Mode, Schmuck, Haushaltswaren, Stoffe, Gastronomie und einen integrierten Französischen Markt. Kontaktdaten im August 2026 aus der offiziellen Quelle ergaenzt."
hamburger-dom-2027-hamburg,Hamburger DOM 2027,Volksfest / DOM,Hamburg,Hamburg,DE,Heiligengeistfeld,2026-08-15,Bewerbungsschluss für das DOM-Jahr 2027 ist der 15. August 2026.,Frühlingsdom: 19.03.-18.04.2027; Sommerdom: 23.07.-29.08.2027; Winterdom: 05.11.-05.12.2027,Online über HamburgService; für jedes Geschäft und jede Veranstaltung ist ein eigenes Formular erforderlich,"Behörde für Wirtschaft, Arbeit und Innovation, Alter Steinweg 4, 20459 Hamburg","Carsten Wenzel, Ansprechpartner für Schausteller",hamburger-dom@bwai.hamburg.de,+49 40 42841-2627,https://www.hamburg.de/freizeit/dom/bewerbung-337432,hamburg.de,official,2026-08-03,hamburg-2027-deep-stadt,verified,"Nachreichungsfristen für Unterlagen: Frühlingsdom 2027 bis 15. Oktober 2026, Sommerdom und Winterdom 2027 jeweils bis 15. Februar 2027. | Die Frist gilt gemeinsam für die drei DOM-Veranstaltungen 2027."
idsteiner-herbstmarkt-2026,Idsteiner Herbstmarkt 2026,Herbstmarkt / Kreativ- und Regionalmarkt,Idstein,Hessen,DE,Altstadt Idstein,2026-08-15,Anmeldefrist: 15.08.2026,10. bis 11. Oktober 2026,Online-Bewerbungsformular,,,,,https://herbstmarkt-idstein.de/bewerbung/,herbstmarkt-idstein.de,official,2026-08-03,research-2026-08-03-gap-maerkte,partial,"Offizielle Veranstalter-Bewerbungsseite; zugelassen sind unter anderem Kunsthandwerk, Handel, Gastronomie und Unterhaltung."
potsdamer-weihnachtszauber-sternengasse-2026,Potsdamer Weihnachtszauber - Sternengasse 2026,Weihnachtsmarkt / Kunsthandwerkermarkt,Potsdam,Brandenburg,DE,Hermann-Elflein-Straße nahe der Brandenburger Straße,2026-08-15,Bewerbungen müssen bis zum 15.08.2026 eingereicht werden.,"23.11.-23.12.2026; Sternenschmieden wochenweise, Marktstaende an Adventswochenenden",Offiziellen Bewerbungsbogen ausfuellen und mit Unternehmens- und Sortimentsbeschreibung sowie Produktfotos per E-Mail einreichen.,,"Lisa Krone, Projektmanagerin Kreativwirtschaft",wirtschaftsfoerderung@rathaus.potsdam.de,0331 289-2825,https://www.potsdam.de/de/sternenschmiede,potsdam.de,official,2026-08-03,research-2026-08-03-be-bb-mv,partial,"Offen für regionale Kreativschaffende, junge Unternehmen und Kunsthandwerk. Speisen und Getraenke zum sofortigen Verzehr sind ausgeschlossen."
emop-berlin-2027-open-call,EMOP Berlin 2027,Fotofestival / Ausstellungsprogramm,Berlin,Berlin,DE,"Teilnehmende Berliner Museen, Ausstellungshäuser, Galerien und Projekträume",2026-08-16,Deadline for submissions: 16 August 2026.,Festival- und Ausstellungsprogramm im Kalenderjahr 2027; konkrete Einzeltermine sind im Open Call nicht abschliessend ausgewiesen.,Einreichung eines Ausstellungsprojekts über den offiziellen Open Call.,,EMOP Berlin,,,https://emop-berlin.eu/en/open-call/,emop-berlin.eu,official,2026-08-03,berlin-2027-deep-feste,partial,"Der offizielle Open Call richtet sich unter anderem an Museen, Ausstellungshäuser, Galerien und Projekträume mit einem Ausstellungsprojekt für EMOP Berlin 2027. | Teilnahmeberechtigt sind Berliner Institutionen und Galerien sowie Kunstschaffende mit einem Ausstellungsraum in Berlin."
